Type,Size,Sort,Time_ms,CmpCount
random,100,QuickSort,0.119463,899.0
random,100,MergeSort,0.298034,539.0
random,100,StringQuickSort,0.030484,697.0
random,100,StringMergeSort,0.230127,591.0
random,100,MSDRadixSort,0.263368,0.0
random,100,MSDRadixSortWithCutoff,0.15348,100.0
random,200,QuickSort,0.228172,1989.0
random,200,MergeSort,0.623333,1282.0
random,200,StringQuickSort,0.065204,1542.0
random,200,StringMergeSort,0.514255,1483.0
random,200,MSDRadixSort,0.51394,0.0
random,200,MSDRadixSortWithCutoff,0.301859,315.0
random,500,QuickSort,0.637158,5842.0
random,500,MergeSort,1.78009,3855.0
random,500,StringQuickSort,0.197277,4817.0
random,500,StringMergeSort,1.38339,4843.0
random,500,MSDRadixSort,1.32433,0.0
random,500,MSDRadixSortWithCutoff,0.637123,1285.0
random,1000,QuickSort,1.44757,13617.0
random,1000,MergeSort,3.86255,8725.0
random,1000,StringQuickSort,0.432329,10166.0
random,1000,StringMergeSort,3.29683,11581.0
random,1000,MSDRadixSort,2.49296,0.0
random,1000,MSDRadixSortWithCutoff,1.17006,3615.0
random,1500,QuickSort,2.18903,21460.0
random,1500,MergeSort,6.02465,13960.0
random,1500,StringQuickSort,0.67991,15855.0
random,1500,StringMergeSort,5.26288,19201.0
random,1500,MSDRadixSort,4.06305,0.0
random,1500,MSDRadixSortWithCutoff,1.77834,6504.0
random,2000,QuickSort,2.99906,29494.0
random,2000,MergeSort,8.40506,19421.0
random,2000,StringQuickSort,0.964019,24711.0
random,2000,StringMergeSort,6.76277,27241.0
random,2000,MSDRadixSort,5.11505,0.0
random,2000,MSDRadixSortWithCutoff,2.31896,9518.0
random,2500,QuickSort,3.95972,37593.0
random,2500,MergeSort,11.0733,25140.0
random,2500,StringQuickSort,1.24016,29269.0
random,2500,StringMergeSort,8.85793,35727.0
random,2500,MSDRadixSort,6.6116,0.0
random,2500,MSDRadixSortWithCutoff,3.00024,12770.0
random,3000,QuickSort,4.9506,47724.0
random,3000,MergeSort,14.2032,30900.0
random,3000,StringQuickSort,1.60928,34946.0
random,3000,StringMergeSort,11.2122,44526.0
random,3000,MSDRadixSort,8.34773,0.0
random,3000,MSDRadixSortWithCutoff,3.92532,16383.0
reverse,100,QuickSort,0.067453,610.0
reverse,100,MergeSort,0.271157,316.0
reverse,100,StringQuickSort,0.022803,560.0
reverse,100,StringMergeSort,0.219291,369.0
reverse,100,MSDRadixSort,0.255861,0.0
reverse,100,MSDRadixSortWithCutoff,0.174519,88.0
reverse,200,QuickSort,0.149888,1412.0
reverse,200,MergeSort,0.558776,732.0
reverse,200,StringQuickSort,0.049622,1332.0
reverse,200,StringMergeSort,0.464381,910.0
reverse,200,MSDRadixSort,0.495918,0.0
reverse,200,MSDRadixSortWithCutoff,0.304925,263.0
reverse,500,QuickSort,0.413141,4014.0
reverse,500,MergeSort,1.64784,2216.0
reverse,500,StringQuickSort,0.139057,3868.0
reverse,500,StringMergeSort,1.3497,3025.0
reverse,500,MSDRadixSort,1.19501,0.0
reverse,500,MSDRadixSortWithCutoff,0.659204,1061.0
reverse,1000,QuickSort,0.930587,9016.0
reverse,1000,MergeSort,3.44429,4932.0
reverse,1000,StringQuickSort,0.296024,8621.0
reverse,1000,StringMergeSort,2.91767,7096.0
reverse,1000,MSDRadixSort,2.45687,0.0
reverse,1000,MSDRadixSortWithCutoff,1.10111,2989.0
reverse,1500,QuickSort,1.47102,14950.0
reverse,1500,MergeSort,5.57855,7664.0
reverse,1500,StringQuickSort,0.483533,13720.0
reverse,1500,StringMergeSort,4.82614,11246.0
reverse,1500,MSDRadixSort,3.72062,0.0
reverse,1500,MSDRadixSortWithCutoff,1.62774,5210.0
reverse,2000,QuickSort,1.84794,20018.0
reverse,2000,MergeSort,7.54914,10864.0
reverse,2000,StringQuickSort,0.637463,19055.0
reverse,2000,StringMergeSort,6.41899,16307.0
reverse,2000,MSDRadixSort,5.00103,0.0
reverse,2000,MSDRadixSortWithCutoff,2.07725,7720.0
reverse,2500,QuickSort,2.46159,26380.0
reverse,2500,MergeSort,10.0418,13652.0
reverse,2500,StringQuickSort,0.810464,24667.0
reverse,2500,StringMergeSort,8.40375,20704.0
reverse,2500,MSDRadixSort,6.48829,0.0
reverse,2500,MSDRadixSortWithCutoff,2.64314,10330.0
reverse,3000,QuickSort,3.21985,32880.0
reverse,3000,MergeSort,12.4401,16828.0
reverse,3000,StringQuickSort,1.0234,30361.0
reverse,3000,StringMergeSort,10.0311,25788.0
reverse,3000,MSDRadixSort,7.87817,0.0
reverse,3000,MSDRadixSortWithCutoff,3.12745,13159.0
almost,100,QuickSort,0.068105,606.0
almost,100,MergeSort,0.287845,458.0
almost,100,StringQuickSort,0.023787,579.0
almost,100,StringMergeSort,0.215976,526.0
almost,100,MSDRadixSort,0.239501,0.0
almost,100,MSDRadixSortWithCutoff,0.152181,86.0
almost,200,QuickSort,0.15215,1425.0
almost,200,MergeSort,0.591728,1109.0
almost,200,StringQuickSort,0.050183,1337.0
almost,200,StringMergeSort,0.447139,1279.0
almost,200,MSDRadixSort,0.480513,0.0
almost,200,MSDRadixSortWithCutoff,0.26651,275.0
almost,500,QuickSort,0.4093,4092.0
almost,500,MergeSort,1.66572,3328.0
almost,500,StringQuickSort,0.144693,3995.0
almost,500,StringMergeSort,1.30269,4167.0
almost,500,MSDRadixSort,1.14398,0.0
almost,500,MSDRadixSortWithCutoff,0.598088,1143.0
almost,1000,QuickSort,0.948135,9222.0
almost,1000,MergeSort,3.76066,7548.0
almost,1000,StringQuickSort,0.334233,8964.0
almost,1000,StringMergeSort,2.98327,10215.0
almost,1000,MSDRadixSort,2.29995,0.0
almost,1000,MSDRadixSortWithCutoff,1.04577,3098.0
almost,1500,QuickSort,1.45568,15188.0
almost,1500,MergeSort,5.8315,12486.0
almost,1500,StringQuickSort,0.582258,14548.0
almost,1500,StringMergeSort,5.06146,17397.0
almost,1500,MSDRadixSort,3.6196,0.0
almost,1500,MSDRadixSortWithCutoff,1.53735,5477.0
almost,2000,QuickSort,1.9132,20465.0
almost,2000,MergeSort,8.29036,17228.0
almost,2000,StringQuickSort,0.721136,20278.0
almost,2000,StringMergeSort,6.45524,24604.0
almost,2000,MSDRadixSort,4.68674,0.0
almost,2000,MSDRadixSortWithCutoff,2.02753,8171.0
almost,2500,QuickSort,2.48903,26716.0
almost,2500,MergeSort,10.2524,22781.0
almost,2500,StringQuickSort,0.924154,25679.0
almost,2500,StringMergeSort,8.59453,32887.0
almost,2500,MSDRadixSort,6.56845,0.0
almost,2500,MSDRadixSortWithCutoff,2.52489,10996.0
almost,3000,QuickSort,3.19658,33100.0
almost,3000,MergeSort,13.119,28185.0
almost,3000,StringQuickSort,1.11352,31849.0
almost,3000,StringMergeSort,10.2328,41023.0
almost,3000,MSDRadixSort,7.43162,0.0
almost,3000,MSDRadixSortWithCutoff,3.02302,13985.0
